"video_id","title","published_date","duration","views","likes","comments","episode_type","guest_name","genre","video_link"
161,"Improve Flexibility with Research-Supported Stretching Protocols | Huberman Lab Podcast #76","2022-06-13","02:06:09",3621537,49135,1796,"Solo Episode","Dr. Andrew Huberman","Fitness & Recovery","https://youtu.be/tkH2-_jMCSk"
162,"Dr. Paul Conti: Therapy, Treating Trauma & Other Life Challenges | Huberman Lab Podcast #75","2022-06-06","02:24:29",789809,18066,1483,"Guest Series","Dr. Paul Conti","Mental Health & Addiction | Emotions & Relationships","https://youtu.be/IOl28gj_RXw"
163,"The Science & Process of Healing from Grief | Huberman Lab Podcast #74","2022-05-30","02:06:48",862026,22456,2758,"Solo Episode","Dr. Andrew Huberman","Mental Health & Addiction","https://youtu.be/dzOvi0Aa2EA"
164,"Dr. Wendy Suzuki: Boost Attention & Memory with Science-Based Tools | Huberman Lab Podcast #73","2022-05-23","01:46:39",928231,26437,1209,"Guest Episode","Dr. Wendy Suzuki","Learning & Memory","https://youtu.be/099hgtRoUZw"
165,"Understand & Improve Memory Using Science-Based Tools | Huberman Lab Podcast #72","2022-05-16","02:09:17",899544,22865,1194,"Solo Episode","Dr. Andrew Huberman","Learning & Memory","https://youtu.be/szqPAPKE5tQ"
166,"Understanding & Controlling Aggression | Huberman Lab Podcast #71","2022-05-09","01:30:53",260249,7416,646,"Solo Episode","Dr. Andrew Huberman","Emotions & Relationships","https://youtu.be/RBK5KLA5Jjg"
167,"Dr. Rhonda Patrick: Micronutrients for Health & Longevity | Huberman Lab Podcast #70","2022-05-02","02:49:33",1403485,25768,2225,"Guest Episode","Dr. Rhonda Patrick","Nutrition | Aging & Longevity","https://youtu.be/XcvhERcZpWw"
168,"The Science & Health Benefits of Deliberate Heat Exposure | Huberman Lab Podcast #69","2022-04-25","01:53:11",689880,14310,1056,"Solo Episode","Dr. Andrew Huberman","Heat & Cold Exposure","https://youtu.be/EQ3GjpGq5Y8"
169,"Using Light (Sunlight, Blue Light & Red Light) to Optimize Health | Huberman Lab Podcast #68","2022-04-18","02:23:43",967565,23701,1802,"Solo Episode","Dr. Andrew Huberman","Light Exposure & Circadian Rhythm","https://youtu.be/UF0nqolsNZc"
170,"Dr. Kyle Gillett: How to Optimize Your Hormones for Health & Vitality","2022-04-11","02:59:22",577646,12876,984,"Guest Episode","Dr. Kyle Gillett","Hormone Health","https://youtu.be/ncSoor2Iw8k"
171,"Using Deliberate Cold Exposure for Health and Performance | Huberman Lab Podcast #66","2022-04-04","02:15:09",1721985,32350,1960,"Solo Episode","Dr. Andrew Huberman","Heat & Cold Exposure","https://youtu.be/pq6WHJzOkno"
172,"Dr. Andy Galpin: How to Build Strength, Muscle Size & Endurance | Huberman Lab Podcast #65","2022-03-28","03:31:28",6681104,61186,2162,"Guest Episode","Dr. Andy Galpin","Fitness & Recovery","https://youtu.be/IAnhFUUCq6c"
173,"Controlling Sugar Cravings & Metabolism with Science-Based Tools | Huberman Lab Podcast #64","2022-03-21","01:58:56",1341089,29268,1563,"Solo Episode","Dr. Andrew Huberman","Nutrition","https://youtu.be/VAEzZeaV5zM"
174,"Using Salt to Optimize Mental & Physical Performance | Huberman Lab Podcast #63","2022-03-14","02:03:54",1925866,37487,2411,"Solo Episode","Dr. Andrew Huberman","Nutrition","https://youtu.be/azb3Ih68awQ"
175,"Dr. Justin Sonnenburg: How to Build, Maintain & Repair Gut Health | Huberman Lab Podcast #62","2022-03-07","02:14:39",2195179,37427,2266,"Guest Episode","Dr. Justin Sonnenburg","Gut Health","https://youtu.be/ouCWNRvPk20"
176,"How to Enhance Your Gut Microbiome for Brain & Overall Health","2022-02-28","01:52:15",938674,20362,1376,"Solo Episode","Dr. Andrew Huberman","Gut Health","https://youtu.be/15R2pMqU2ok"
177,"Dr. David Spiegel: Using Hypnosis to Enhance Health & Performance","2022-02-21","01:52:41",417204,10776,768,"Guest Episode","Dr. David Spiegel","Neuroplasticity, Habits & Goals | NSDR, Meditation & Rest","https://youtu.be/PctD-ki8dCc"
178,"The Science of Love, Desire and Attachment","2022-02-14","02:35:12",2196907,36131,1673,"Solo Episode","Dr. Andrew Huberman","Emotions & Relationships","https://youtu.be/gMRph_BvHB4"
179,"Using Play to Rewire & Improve Your Brain","2022-02-07","01:46:36",365080,10303,970,"Solo Episode","Dr. Andrew Huberman","Focus, Productivity & Creativity | Neuroplasticity, Habits & Goals | Neurobiology & Physiology","https://youtu.be/BwyZIWeBpRw"
180,"Optimizing Workspace for Productivity, Focus, & Creativity","2022-01-31","01:41:56",541139,14714,970,"Solo Episode","Dr. Andrew Huberman","Focus, Productivity & Creativity","https://youtu.be/Ze2pc6NwsHQ"
181,"Dr. Alia Crum: Science of Mindsets for Health & Performance","2022-01-24","01:41:03",671112,18703,1060,"Guest Episode","Dr. Alia Crum","The Science of Well-being | Mental Health & Addiction","https://youtu.be/dFR_wFN23ZY"
182,"The Science of Setting & Achieving Goals","2022-01-17","01:54:23",1538020,37695,1783,"Solo Episode","Dr. Andrew Huberman","Neuroplasticity, Habits & Goals","https://youtu.be/t1F7EEGPQwo"
183,"Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance","2022-01-10","02:23:37",718692,18162,1029,"Guest Episode","Dr. Jack Feldman","NSDR, Meditation & Rest | Neurobiology & Physiology | The Science of Well-being | Fitness & Recovery | Mental Health & Addiction","https://youtu.be/GLgKkG44MGo"
184,"The Science of Making & Breaking Habits","2022-01-03","01:50:39",4424678,80659,1982,"Solo Episode","Dr. Andrew Huberman","Neuroplasticity, Habits & Goals","https://youtu.be/Wcs2PFz5q6g"
185,"Dr. David Sinclair: The Biology of Slowing & Reversing Aging","2021-12-27","02:10:43",3316810,76652,4883,"Guest Episode","Dr. David Sinclair","Aging & Longevity","https://youtu.be/n9IxomBusuw"
186,"Science of Social Bonding in Family, Friendship & Romantic Love","2021-12-20","01:33:22",540801,14947,1136,"Solo Episode","Dr. Andrew Huberman","Emotions & Relationships","https://youtu.be/RgAcOqVRfYA"
187,"Dr. David Berson: Your Brain's Logic & Function","2021-12-13","01:52:48",227329,5808,571,"Guest Episode","Dr. David Berson","Neurobiology & Physiology","https://youtu.be/oC3fhUjg30E"
188,"Erasing Fears & Traumas Based on the Modern Neuroscience of Fear","2021-12-06","02:13:50",1711685,42078,2626,"Solo Episode","Dr. Andrew Huberman","Emotions & Relationships | Mental Health & Addiction","https://youtu.be/31wjVhCcI5Y"
189,"Dr. David Buss: How Humans Select & Keep Romantic Partners in Short & Long Term","2021-11-29","02:13:02",903980,24426,2900,"Guest Episode","Dr. David Buss","Emotions & Relationships","https://youtu.be/HXzTbCEqCJc"
190,"The Science of Gratitude & How to Build a Gratitude Practice","2021-11-22","01:25:57",1053931,28338,1890,"Solo Episode","Dr. Andrew Huberman","The Science of Well-being","https://youtu.be/KVjfFN89qvQ"
191,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones","2021-11-15","01:14:17",499323,13279,847,"Solo Episode","Dr. Andrew Huberman","ADHD, Drive & Motivation | Neurobiology & Physiology","https://youtu.be/8IWDAqodDas"
192,"Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization","2021-11-08","01:30:06",310127,8948,782,"Guest Episode","Dr. Duncan French","Fitness & Recovery | Hormone Health","https://youtu.be/iMvtHqLmEkI"
193,"Using Your Nervous System to Enhance Your Immune System","2021-11-01","02:00:32",651524,13942,1280,"Solo Episode","Dr. Andrew Huberman","Neurobiology & Physiology | Metabolism & Immunity","https://youtu.be/poOf8b2WE2g"
194,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood","2021-10-25","02:14:28",224555,6923,849,"Guest Episode","Dr. Samer Hattar","The Science of Well-being | Fitness & Recovery | Sleep | Light Exposure & Circadian Rhythm | Nutrition","https://youtu.be/oUu3f0ETMJQ"
195,"Nutrients For Brain Health & Performance | Huberman Lab Podcast #42","2021-10-18","01:41:19",1285380,30379,1651,"Solo Episode","Dr. Andrew Huberman","Neurobiology & Physiology | Nutrition","https://youtu.be/E7W4OQfJWdw"
